State,Year,Quarter,Pincode,Transaction_Count,Transaction_Amount
andaman-&-nicobar-islands,2022,4,744112,25,42024
andaman-&-nicobar-islands,2023,1,744103,236,286594
andaman-&-nicobar-islands,2023,1,744101,206,233281
andaman-&-nicobar-islands,2023,1,744105,164,256300
andaman-&-nicobar-islands,2023,1,744102,117,134841
andaman-&-nicobar-islands,2023,1,744107,30,54849
andaman-&-nicobar-islands,2023,1,744301,30,58745
andaman-&-nicobar-islands,2023,1,744112,29,49945
andaman-&-nicobar-islands,2023,1,744202,29,64193
andaman-&-nicobar-islands,2023,1,744205,27,40580
andaman-&-nicobar-islands,2023,1,744211,24,29149
andaman-&-nicobar-islands,2023,2,744103,171,341853
andaman-&-nicobar-islands,2023,2,744105,166,255069
andaman-&-nicobar-islands,2023,2,744101,134,189989
andaman-&-nicobar-islands,2023,2,744102,82,101875
andaman-&-nicobar-islands,2023,2,744104,27,34345
andaman-&-nicobar-islands,2023,2,744301,25,41299
andaman-&-nicobar-islands,2023,2,744207,22,43459
andaman-&-nicobar-islands,2023,2,744112,21,20427
andaman-&-nicobar-islands,2023,2,744107,20,24693
andaman-&-nicobar-islands,2023,2,744205,17,31404
andaman-&-nicobar-islands,2023,3,744103,191,306744
andaman-&-nicobar-islands,2023,3,744105,147,212575
andaman-&-nicobar-islands,2023,3,744101,143,213581
andaman-&-nicobar-islands,2023,3,744102,100,120875
andaman-&-nicobar-islands,2023,3,744202,35,60750
andaman-&-nicobar-islands,2023,3,744104,30,50544
andaman-&-nicobar-islands,2023,3,744112,26,46075
andaman-&-nicobar-islands,2023,3,744301,18,34636
andaman-&-nicobar-islands,2023,3,744205,16,25131
andaman-&-nicobar-islands,2023,3,744302,16,24369
andaman-&-nicobar-islands,2023,4,744103,268,415144
andaman-&-nicobar-islands,2023,4,744105,214,372312
andaman-&-nicobar-islands,2023,4,744101,181,241849
andaman-&-nicobar-islands,2023,4,744102,121,161224
andaman-&-nicobar-islands,2023,4,744104,64,80581
andaman-&-nicobar-islands,2023,4,744112,50,50671
andaman-&-nicobar-islands,2023,4,744107,42,71047
andaman-&-nicobar-islands,2023,4,744202,36,60749
andaman-&-nicobar-islands,2023,4,744301,24,52732
andaman-&-nicobar-islands,2023,4,744205,23,38962
andaman-&-nicobar-islands,2024,1,744103,302,456306
andaman-&-nicobar-islands,2024,1,744105,249,331342
andaman-&-nicobar-islands,2024,1,744101,223,287339
andaman-&-nicobar-islands,2024,1,744102,141,182213
andaman-&-nicobar-islands,2024,1,744202,59,110482
andaman-&-nicobar-islands,2024,1,744104,59,84757
andaman-&-nicobar-islands,2024,1,744112,52,62867
andaman-&-nicobar-islands,2024,1,744107,52,73449
andaman-&-nicobar-islands,2024,1,744207,40,62007
andaman-&-nicobar-islands,2024,1,744205,28,38204
andaman-&-nicobar-islands,2024,2,744103,285,438830
andaman-&-nicobar-islands,2024,2,744105,199,276393
andaman-&-nicobar-islands,2024,2,744101,157,251503
andaman-&-nicobar-islands,2024,2,744102,133,203605
andaman-&-nicobar-islands,2024,2,744112,49,77583
andaman-&-nicobar-islands,2024,2,744104,49,91213
andaman-&-nicobar-islands,2024,2,744107,34,52311
andaman-&-nicobar-islands,2024,2,744202,28,41210
andaman-&-nicobar-islands,2024,2,744211,28,43685
andaman-&-nicobar-islands,2024,2,744302,27,37685
andaman-&-nicobar-islands,2024,3,744103,359,554559
andaman-&-nicobar-islands,2024,3,744102,196,248439
andaman-&-nicobar-islands,2024,3,744105,151,221959
andaman-&-nicobar-islands,2024,3,744104,95,128652
andaman-&-nicobar-islands,2024,3,744101,92,145811
andaman-&-nicobar-islands,2024,3,744106,54,84623
andaman-&-nicobar-islands,2024,3,744202,45,67769
andaman-&-nicobar-islands,2024,3,744207,25,27399
andaman-&-nicobar-islands,2024,3,744302,24,28210
andaman-&-nicobar-islands,2024,3,744301,20,28067
andaman-&-nicobar-islands,2024,4,744103,369,521509
andaman-&-nicobar-islands,2024,4,744102,165,228528
andaman-&-nicobar-islands,2024,4,744105,161,268432
andaman-&-nicobar-islands,2024,4,744104,129,250205
andaman-&-nicobar-islands,2024,4,744101,90,117544
andaman-&-nicobar-islands,2024,4,744202,65,107445
andaman-&-nicobar-islands,2024,4,744106,53,90277
andaman-&-nicobar-islands,2024,4,744301,50,86256
andaman-&-nicobar-islands,2024,4,744107,26,55695
andaman-&-nicobar-islands,2024,4,744204,24,45960
andhra-pradesh,2020,2,515001,540,86088
andhra-pradesh,2020,2,515004,437,71761
andhra-pradesh,2020,2,516360,339,55455
andhra-pradesh,2020,2,516001,322,50705
andhra-pradesh,2020,2,533005,301,46454
andhra-pradesh,2020,2,517002,279,43236
andhra-pradesh,2020,2,530016,262,41153
andhra-pradesh,2020,2,517501,259,43013
andhra-pradesh,2020,2,533103,258,43311
andhra-pradesh,2020,2,515671,250,43610
andhra-pradesh,2020,3,535003,968,195870
andhra-pradesh,2020,3,524004,795,165322
andhra-pradesh,2020,3,517501,777,172113
andhra-pradesh,2020,3,517507,776,201732
andhra-pradesh,2020,3,516001,746,161284
andhra-pradesh,2020,3,524002,663,143659
andhra-pradesh,2020,3,530016,661,156016
andhra-pradesh,2020,3,524003,608,128862
andhra-pradesh,2020,3,520010,542,116222
andhra-pradesh,2020,3,516360,532,135236
andhra-pradesh,2020,4,515001,292,120291
andhra-pradesh,2020,4,516001,260,110284
andhra-pradesh,2020,4,517501,234,139080
andhra-pradesh,2020,4,530016,233,101891
andhra-pradesh,2020,4,517507,228,123376
andhra-pradesh,2020,4,530026,215,132499
andhra-pradesh,2020,4,524002,211,99952
andhra-pradesh,2020,4,522004,201,102846
andhra-pradesh,2020,4,522001,196,110129
andhra-pradesh,2020,4,522003,181,79955
andhra-pradesh,2021,1,530016,287,144342
andhra-pradesh,2021,1,516001,258,130242
andhra-pradesh,2021,1,530026,250,114038
andhra-pradesh,2021,1,517501,249,105904
andhra-pradesh,2021,1,520010,224,135466
andhra-pradesh,2021,1,517507,215,169433
andhra-pradesh,2021,1,522001,210,85999
andhra-pradesh,2021,1,520012,178,127092
andhra-pradesh,2021,1,524002,178,100699
andhra-pradesh,2021,1,520011,177,70827
andhra-pradesh,2021,2,523002,1409,631953
andhra-pradesh,2021,2,523001,537,293906
andhra-pradesh,2021,2,517501,374,208258
andhra-pradesh,2021,2,517507,347,265432
andhra-pradesh,2021,2,530016,323,204624
andhra-pradesh,2021,2,534002,293,124158
andhra-pradesh,2021,2,534006,284,112884
andhra-pradesh,2021,2,515001,271,168382
andhra-pradesh,2021,2,516001,268,144765
andhra-pradesh,2021,2,524002,262,130466
andhra-pradesh,2021,3,520010,299,246736
andhra-pradesh,2021,3,520011,283,194552
andhra-pradesh,2021,3,517507,282,246665
andhra-pradesh,2021,3,516001,281,218927
andhra-pradesh,2021,3,517501,281,190890
andhra-pradesh,2021,3,530026,276,201084
andhra-pradesh,2021,3,520001,252,185104
andhra-pradesh,2021,3,530016,247,181981
andhra-pradesh,2021,3,520007,234,183730
andhra-pradesh,2021,3,524004,230,154696
andhra-pradesh,2021,4,524004,568,468698
andhra-pradesh,2021,4,524002,373,385590
andhra-pradesh,2021,4,517501,372,394057
andhra-pradesh,2021,4,517507,365,376592
andhra-pradesh,2021,4,516001,301,298417
andhra-pradesh,2021,4,530016,293,386711
andhra-pradesh,2021,4,520010,254,242094
andhra-pradesh,2021,4,522001,249,252587
andhra-pradesh,2021,4,530026,238,269565
andhra-pradesh,2021,4,520011,235,238426
andhra-pradesh,2022,1,523001,501,553651
andhra-pradesh,2022,1,523002,418,422786
andhra-pradesh,2022,1,524004,365,352581
andhra-pradesh,2022,1,517507,361,617403
andhra-pradesh,2022,1,517501,352,477461
andhra-pradesh,2022,1,530016,349,394098
andhra-pradesh,2022,1,516001,346,403725
andhra-pradesh,2022,1,530026,307,312518
andhra-pradesh,2022,1,520010,297,370767
andhra-pradesh,2022,1,520007,294,413180
andhra-pradesh,2022,2,520010,394,411471
andhra-pradesh,2022,2,530016,379,457895
andhra-pradesh,2022,2,517507,376,510705
andhra-pradesh,2022,2,517501,363,390709
andhra-pradesh,2022,2,520011,359,347013
andhra-pradesh,2022,2,524002,347,400810
andhra-pradesh,2022,2,516001,344,354936
andhra-pradesh,2022,2,523001,336,298809
andhra-pradesh,2022,2,523002,318,410402
andhra-pradesh,2022,2,520007,306,355690
andhra-pradesh,2022,3,524002,485,506293
andhra-pradesh,2022,3,517507,478,633331
andhra-pradesh,2022,3,517501,477,602653
andhra-pradesh,2022,3,520010,463,496114
andhra-pradesh,2022,3,520011,444,463855
andhra-pradesh,2022,3,516001,443,510288
andhra-pradesh,2022,3,530026,421,437652
andhra-pradesh,2022,3,530016,420,408060
andhra-pradesh,2022,3,520001,411,343460
andhra-pradesh,2022,3,524004,392,408836
andhra-pradesh,2022,4,517507,596,856272
andhra-pradesh,2022,4,516001,550,602897
andhra-pradesh,2022,4,517501,543,549451
andhra-pradesh,2022,4,523002,488,441856
andhra-pradesh,2022,4,530016,457,650737
andhra-pradesh,2022,4,517326,416,288926
andhra-pradesh,2022,4,524002,416,588408
andhra-pradesh,2022,4,520011,413,432671
andhra-pradesh,2022,4,522001,407,369435
andhra-pradesh,2022,4,530026,407,458462
andhra-pradesh,2023,1,517507,468,848915
andhra-pradesh,2023,1,530016,463,635433
andhra-pradesh,2023,1,517501,456,788976
andhra-pradesh,2023,1,520011,407,518326
andhra-pradesh,2023,1,516001,396,538812
andhra-pradesh,2023,1,524002,383,483768
andhra-pradesh,2023,1,520010,377,446022
andhra-pradesh,2023,1,530026,367,455958
andhra-pradesh,2023,1,520012,353,481246
andhra-pradesh,2023,1,520007,345,417747
andhra-pradesh,2023,2,517507,616,969092
andhra-pradesh,2023,2,517501,537,696700
andhra-pradesh,2023,2,520010,472,547680
andhra-pradesh,2023,2,530016,452,526796
andhra-pradesh,2023,2,520007,433,549179
andhra-pradesh,2023,2,524002,412,546644
andhra-pradesh,2023,2,520011,405,443320
andhra-pradesh,2023,2,520001,394,377868
andhra-pradesh,2023,2,524004,371,636260
andhra-pradesh,2023,2,516001,370,505187
andhra-pradesh,2023,3,517507,681,926705
andhra-pradesh,2023,3,517501,589,770236
andhra-pradesh,2023,3,530016,577,720125
andhra-pradesh,2023,3,520010,533,663947
andhra-pradesh,2023,3,520007,527,675611
andhra-pradesh,2023,3,520011,524,479426
andhra-pradesh,2023,3,530026,520,483441
andhra-pradesh,2023,3,524002,482,536352
andhra-pradesh,2023,3,524004,431,581425
andhra-pradesh,2023,3,516001,412,534212
andhra-pradesh,2023,4,530016,563,837356
andhra-pradesh,2023,4,517507,557,1066470
andhra-pradesh,2023,4,530026,495,565504
andhra-pradesh,2023,4,517501,453,752992
andhra-pradesh,2023,4,524002,434,553778
andhra-pradesh,2023,4,520011,412,463576
andhra-pradesh,2023,4,520007,407,516110
andhra-pradesh,2023,4,520010,389,513516
andhra-pradesh,2023,4,530046,378,607798
andhra-pradesh,2023,4,520001,369,418525
andhra-pradesh,2024,1,530016,548,763795
andhra-pradesh,2024,1,517507,531,915457
andhra-pradesh,2024,1,517501,494,749467
andhra-pradesh,2024,1,520010,480,529119
andhra-pradesh,2024,1,530026,466,524957
andhra-pradesh,2024,1,517326,439,244562
andhra-pradesh,2024,1,520007,432,691745
andhra-pradesh,2024,1,524002,428,666708
andhra-pradesh,2024,1,530046,386,614874
andhra-pradesh,2024,1,520011,372,445394
andhra-pradesh,2024,2,530016,567,878988
andhra-pradesh,2024,2,517507,515,883412
andhra-pradesh,2024,2,517501,467,775196
andhra-pradesh,2024,2,530014,418,347441
andhra-pradesh,2024,2,524002,412,646264
andhra-pradesh,2024,2,530026,406,395729
andhra-pradesh,2024,2,520010,402,511790
andhra-pradesh,2024,2,530046,376,611203
andhra-pradesh,2024,2,524004,363,574695
andhra-pradesh,2024,2,520007,354,541505
andhra-pradesh,2024,3,517501,868,1419641
andhra-pradesh,2024,3,520007,661,985453
andhra-pradesh,2024,3,530016,628,845789
andhra-pradesh,2024,3,530026,598,723683
andhra-pradesh,2024,3,520003,580,699162
andhra-pradesh,2024,3,520010,570,767188
andhra-pradesh,2024,3,533005,499,834104
andhra-pradesh,2024,3,524002,475,590274
andhra-pradesh,2024,3,530046,452,675824
andhra-pradesh,2024,3,517507,424,701647
andhra-pradesh,2024,4,517501,927,1356884
andhra-pradesh,2024,4,520010,875,1098456
andhra-pradesh,2024,4,520007,858,1109088
andhra-pradesh,2024,4,520003,855,829766
andhra-pradesh,2024,4,530026,731,867397
andhra-pradesh,2024,4,530016,712,880040
andhra-pradesh,2024,4,523001,634,752920
andhra-pradesh,2024,4,524002,626,807213
andhra-pradesh,2024,4,530046,556,794395
andhra-pradesh,2024,4,520001,540,521557
arunachal-pradesh,2020,2,791113,21,3445
arunachal-pradesh,2020,2,791110,6,1304
arunachal-pradesh,2020,2,791001,5,1124
arunachal-pradesh,2020,2,792056,5,1064
arunachal-pradesh,2020,2,792130,4,744
arunachal-pradesh,2020,2,791109,3,811
arunachal-pradesh,2020,2,792120,3,739
arunachal-pradesh,2020,2,790104,3,827
arunachal-pradesh,2020,2,791111,3,744
arunachal-pradesh,2020,2,792103,2,939
arunachal-pradesh,2020,3,791110,21,4213
arunachal-pradesh,2020,3,791102,19,9111
arunachal-pradesh,2020,3,791111,17,5506
arunachal-pradesh,2020,3,791112,10,2281
arunachal-pradesh,2020,3,791001,6,2236
arunachal-pradesh,2020,3,791123,6,1540
arunachal-pradesh,2020,3,791113,6,2236
arunachal-pradesh,2020,3,790116,6,1512
arunachal-pradesh,2020,3,792001,5,796
arunachal-pradesh,2020,3,792110,4,843
arunachal-pradesh,2020,4,791113,18,5383
arunachal-pradesh,2020,4,791110,13,7819
arunachal-pradesh,2020,4,791111,10,4999
arunachal-pradesh,2020,4,792110,9,1981
arunachal-pradesh,2020,4,791102,8,5359
arunachal-pradesh,2020,4,790003,6,10016
arunachal-pradesh,2020,4,790001,5,4355
arunachal-pradesh,2020,4,790105,4,5434
arunachal-pradesh,2020,4,790104,4,2973
arunachal-pradesh,2020,4,791109,4,888
arunachal-pradesh,2021,1,791110,21,32836
arunachal-pradesh,2021,1,791111,18,6658
arunachal-pradesh,2021,1,791102,17,8055
arunachal-pradesh,2021,1,791113,16,9549
arunachal-pradesh,2021,1,792103,11,1983
arunachal-pradesh,2021,1,792001,9,2577
arunachal-pradesh,2021,1,790104,9,8819
arunachal-pradesh,2021,1,790116,7,3646
arunachal-pradesh,2021,1,791122,7,4237
arunachal-pradesh,2021,1,791001,7,3690
arunachal-pradesh,2021,2,791110,26,14352
arunachal-pradesh,2021,2,791001,20,15346
arunachal-pradesh,2021,2,791111,15,39804
arunachal-pradesh,2021,2,792103,14,9960
arunachal-pradesh,2021,2,792110,14,8091
arunachal-pradesh,2021,2,792001,12,19837
arunachal-pradesh,2021,2,791113,10,4357
arunachal-pradesh,2021,2,791120,10,4236
arunachal-pradesh,2021,2,791109,9,9677
arunachal-pradesh,2021,2,791112,8,20976
arunachal-pradesh,2021,3,791001,21,57300
arunachal-pradesh,2021,3,791102,20,30911
arunachal-pradesh,2021,3,791111,20,62172
arunachal-pradesh,2021,3,791110,16,18773
arunachal-pradesh,2021,3,792103,15,35018
arunachal-pradesh,2021,3,790116,13,12529
arunachal-pradesh,2021,3,792110,13,11845
arunachal-pradesh,2021,3,792129,10,25474
arunachal-pradesh,2021,3,792001,7,12333
arunachal-pradesh,2021,3,791120,6,11875
arunachal-pradesh,2021,4,791110,44,84245
arunachal-pradesh,2021,4,791111,31,62422
arunachal-pradesh,2021,4,791113,23,42208
arunachal-pradesh,2021,4,791001,17,27105
arunachal-pradesh,2021,4,792103,16,24037
arunachal-pradesh,2021,4,790001,14,19900
arunachal-pradesh,2021,4,791109,14,15990
arunachal-pradesh,2021,4,790104,13,18120
arunachal-pradesh,2021,4,792130,12,30185
arunachal-pradesh,2021,4,792110,11,12440
arunachal-pradesh,2022,1,791111,51,124161
arunachal-pradesh,2022,1,791110,34,58358
arunachal-pradesh,2022,1,791113,29,95648
arunachal-pradesh,2022,1,791102,21,46778
arunachal-pradesh,2022,1,790116,21,42054
arunachal-pradesh,2022,1,792129,14,55170
arunachal-pradesh,2022,1,792001,13,22997
arunachal-pradesh,2022,1,791109,12,12811
arunachal-pradesh,2022,1,792056,10,13617
arunachal-pradesh,2022,1,792110,10,17012
arunachal-pradesh,2022,2,791110,97,272742
arunachal-pradesh,2022,2,791111,95,210496
arunachal-pradesh,2022,2,791113,59,126741
arunachal-pradesh,2022,2,791109,30,77784
arunachal-pradesh,2022,2,791102,25,94817
arunachal-pradesh,2022,2,791001,24,54485
arunachal-pradesh,2022,2,790104,22,55603
arunachal-pradesh,2022,2,792001,17,45749
arunachal-pradesh,2022,2,791123,15,22207
arunachal-pradesh,2022,2,791112,14,42189
arunachal-pradesh,2022,3,791111,98,283474
arunachal-pradesh,2022,3,791110,67,151232
arunachal-pradesh,2022,3,791102,32,53678
arunachal-pradesh,2022,3,791109,29,36024
arunachal-pradesh,2022,3,791113,25,56908
arunachal-pradesh,2022,3,790104,19,97783
arunachal-pradesh,2022,3,791001,18,88301
arunachal-pradesh,2022,3,791123,17,38512
arunachal-pradesh,2022,3,792110,17,26960
arunachal-pradesh,2022,3,790102,15,25996
arunachal-pradesh,2022,4,791111,86,169298
arunachal-pradesh,2022,4,791110,80,153335
arunachal-pradesh,2022,4,791102,29,52395
arunachal-pradesh,2022,4,791001,28,60464
arunachal-pradesh,2022,4,791113,27,98039
arunachal-pradesh,2022,4,792001,25,50628
arunachal-pradesh,2022,4,792103,24,54947
arunachal-pradesh,2022,4,792110,23,56348
arunachal-pradesh,2022,4,790104,23,65530
arunachal-pradesh,2022,4,791112,22,42213
arunachal-pradesh,2023,1,791110,74,172651
arunachal-pradesh,2023,1,791111,56,229802
arunachal-pradesh,2023,1,791113,42,107932
arunachal-pradesh,2023,1,791102,39,77754
arunachal-pradesh,2023,1,790104,36,151958
arunachal-pradesh,2023,1,791001,31,92735
arunachal-pradesh,2023,1,790116,19,46603
arunachal-pradesh,2023,1,791109,17,26106
arunachal-pradesh,2023,1,792110,17,32562
arunachal-pradesh,2023,1,792121,17,56453
arunachal-pradesh,2023,2,791110,94,280971
arunachal-pradesh,2023,2,791111,61,210621
arunachal-pradesh,2023,2,791113,48,172799
arunachal-pradesh,2023,2,791102,43,133976
arunachal-pradesh,2023,2,792103,30,79156
arunachal-pradesh,2023,2,791001,30,89674
arunachal-pradesh,2023,2,791123,29,41320
arunachal-pradesh,2023,2,792110,29,51944
arunachal-pradesh,2023,2,790104,26,101946
arunachal-pradesh,2023,2,792001,25,53846
arunachal-pradesh,2023,3,791110,91,197412
arunachal-pradesh,2023,3,791111,76,203612
arunachal-pradesh,2023,3,791102,48,106325
arunachal-pradesh,2023,3,791113,45,145263
arunachal-pradesh,2023,3,792110,39,140365
arunachal-pradesh,2023,3,792103,33,50413
arunachal-pradesh,2023,3,791123,30,62165
arunachal-pradesh,2023,3,790104,28,89165
arunachal-pradesh,2023,3,792129,26,82497
arunachal-pradesh,2023,3,791109,26,45255
arunachal-pradesh,2023,4,791110,106,279822
arunachal-pradesh,2023,4,791111,87,241478
arunachal-pradesh,2023,4,791113,60,164868
arunachal-pradesh,2023,4,791001,50,124355
arunachal-pradesh,2023,4,792103,40,108659
arunachal-pradesh,2023,4,790104,36,146680
arunachal-pradesh,2023,4,792110,35,81825
arunachal-pradesh,2023,4,791102,29,81558
arunachal-pradesh,2023,4,792001,26,60980
arunachal-pradesh,2023,4,791123,24,71486
arunachal-pradesh,2024,1,791110,126,258768
arunachal-pradesh,2024,1,791111,105,296463
arunachal-pradesh,2024,1,791113,83,149366
arunachal-pradesh,2024,1,791102,76,171426
arunachal-pradesh,2024,1,791001,52,128932
arunachal-pradesh,2024,1,792110,48,123833
arunachal-pradesh,2024,1,792001,43,92713
arunachal-pradesh,2024,1,791109,42,66049
arunachal-pradesh,2024,1,792103,40,80498
arunachal-pradesh,2024,1,790104,40,81575
arunachal-pradesh,2024,2,790104,176,109202
arunachal-pradesh,2024,2,791110,124,303724
arunachal-pradesh,2024,2,791111,93,287734
arunachal-pradesh,2024,2,791113,64,131979
arunachal-pradesh,2024,2,791001,51,129656
arunachal-pradesh,2024,2,791102,39,95471
arunachal-pradesh,2024,2,792110,38,102160
arunachal-pradesh,2024,2,792001,37,51507
arunachal-pradesh,2024,2,790116,34,70161
arunachal-pradesh,2024,2,792103,34,77380
arunachal-pradesh,2024,3,791111,95,275822
arunachal-pradesh,2024,3,791110,84,171154
arunachal-pradesh,2024,3,790104,49,90929
arunachal-pradesh,2024,3,791102,40,102083
arunachal-pradesh,2024,3,791113,39,55663
arunachal-pradesh,2024,3,790116,37,111034
arunachal-pradesh,2024,3,791001,32,98436
arunachal-pradesh,2024,3,792001,31,65334
arunachal-pradesh,2024,3,792110,29,52515
arunachal-pradesh,2024,3,792130,28,61484
arunachal-pradesh,2024,4,791110,110,265075
arunachal-pradesh,2024,4,791111,88,268300
arunachal-pradesh,2024,4,791102,80,218443
arunachal-pradesh,2024,4,791001,62,141282
arunachal-pradesh,2024,4,790104,49,177085
arunachal-pradesh,2024,4,791113,40,79922
arunachal-pradesh,2024,4,792110,34,63459
arunachal-pradesh,2024,4,792103,32,73356
arunachal-pradesh,2024,4,792001,30,73556
arunachal-pradesh,2024,4,790001,30,98145
assam,2020,2,781022,36,6530
assam,2020,2,781038,36,6424
assam,2020,2,781032,30,5864
assam,2020,2,781006,23,3630
assam,2020,2,781018,20,3512
assam,2020,2,781001,20,3646
assam,2020,2,781005,19,3763
assam,2020,2,783380,17,3851
assam,2020,2,781019,17,2587
assam,2020,2,786171,16,2911
assam,2020,3,781032,84,19733
assam,2020,3,781022,44,13672
assam,2020,3,781001,42,11968
assam,2020,3,781005,41,10227
assam,2020,3,781038,41,11250
assam,2020,3,783380,40,11182
assam,2020,3,781007,38,13564
assam,2020,3,781028,34,7155
assam,2020,3,781020,33,8122
assam,2020,3,781018,29,8620
assam,2020,4,781032,57,43429
assam,2020,4,781022,55,38700
assam,2020,4,781011,32,14866
assam,2020,4,781007,30,37778
assam,2020,4,781028,27,33443
assam,2020,4,783380,27,16998
assam,2020,4,781019,27,33793
assam,2020,4,781038,26,17089
